Jules and Jim, 1962, Criterion Collection, The, 18, 97, 18, 6.5, ['Jeanne Moreau', 'Oskar Werner'], [], Decades of a love triangle concerning two friends and an impulsive woman., François Truffaut, ['Drama', 'Romance'],  Not Rated,  105
The Wild Bunch, 1969, Warner Brothers/Seven Arts, 20, 97, 36, 7.4, ['Ben Johnson', "Edmond O'Brien", 'Emilio Fernández', 'Ernest Borgnine', 'Jaime Sanchez', 'L.Q. Jones', 'Robert Ryan', 'Strother Martin', 'Warren Oates', 'William Holden'], [], An aging group of outlaws look for one last big score as the "traditional" American West is disappearing around them., Sam Peckinpah, ['Action', 'Adventure', 'Western'],  R,  135
My Left Foot, 1989, Miramax, 17, 97, 92, 8.3, ['Brenda Fricker', 'Daniel Day-Lewis'], [], True story of cerebral palsied Christy Brown, who overcame his illness and poverty to become an accomplished artist, poet and writer., Jim Sheridan, ['Biography', 'Drama'],  R,  103
The Third Man, 1949, British Lion Film Corporation, 30, 97, 104, 8.4, ['Alida Valli', 'Bernard Lee', 'Erich Ponto', 'Ernst Deutsch', 'Joseph Cotten', 'Orson Welles', 'Paul Hörbiger', 'Siegfried Breuer', 'Trevor Howard', 'Wilfrid Hyde-White'], [], Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime., Carol Reed, ['Mystery', 'Thriller', 'Film-Noir'],  Approved,  104
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, 1964, Columbia Pictures, 32, 97, 866, 8.4, ['George C. Scott', 'Peter Sellers'], [], Through a series of military and political accidents, a psychotic general - U.S. Air Force Commander Jack D. Ripper (Hayden) - triggers an ingenious, irrevocable scheme to attack Russia's strategic targets with nuclear bombs. The U.S. President (Sellers) and Dr. Strangelove (Sellers), a wheelchair-bound nuclear scientist who has bizarre… Expand, Stanley Kubrick, ['Thriller', 'Comedy'],  GP,  95
Quo Vadis, Aida?, 2021, Cinéart, 16, 97, 123, 8.0, ['Boris Isakovic', 'Boris Ler', 'Dino Bajrovic', 'Emir Hadzihafizbegovic', 'Izudin Bajrovic', 'Jasna Djuricic', 'Johan Heldenbergh', 'Raymond Thiry', 'Reinout Bussemaker', 'Teun Luijkx'], [], Bosnia, July 11th 1995. Aida is a translator for the United Nations in the small town of Srebrenica. When the Serbian army takes over the town, her family is among the thousands of citizens looking for shelter in the UN camp. As an insider to the negotiations Aida has access to crucial information that she needs to interpret. What is at… Expand, Jasmila Zbanic, ['Drama', 'History', 'War'],  Approved,  101
Psycho, 1960, Paramount Pictures, 18, 97, 529, 8.8, ['Anthony Perkins', 'Janet Leigh'], [], A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man, Norman Bates (Anthony Perkins) under the domination of his mother., Alfred Hitchcock, ['Mystery', 'Thriller', 'Horror'],  M,  109
Gone with the Wind, 1940, Metro-Goldwyn-Mayer (MGM), 18, 97, 240, 8.3, ['Vivien Leigh'], [], A Southern belle struggles with the devastation of the Civil War and Reconstruction. This classic won 8 Academy Awards, including Best Picture., George Cukor, ['Drama', 'History', 'Romance', 'War'],  TV-PG,  238
4 Months, 3 Weeks and 2 Days, 2008, IFC Films, 37, 97, 360, 7.9, ['Anamaria Marinca', 'Vlad Ivanov'], [], During the final days of communism in Romania, two college roommates Otilia and Gabita are busy preparing for a night away. But rather than planning for a holiday, they are making arrangements for Gabita's illegal abortion and unwittingly, both find themselves burrowing deep down a rabbit hole of unexpected revelations. [IFC Films], Cristian Mungiu, ['Drama'],  Not Rated,  113
Battleship Potemkin, 1926, Goskino, 22, 97, 27, 8.4, ['A. Glauberman', 'Aleksandr Antonov', 'Aleksandr Levshin', 'Grigoriy Aleksandrov', 'Ivan Bobrov', 'Konstantin Feldman', 'Mikhail Gomorov', 'N. Poltavtseva', 'Prokhorenko', 'Vladimir Barskiy'], [], In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre., Sergei M. Eisenstein, ['Drama', 'History', 'Thriller', 'War'],  Not Rated,  75
A Streetcar Named Desire, 1951, Warner Bros., 20, 97, 68, 8.2, ['Ann Dere', 'Karl Malden', 'Kim Hunter', 'Marlon Brando', 'Nick Dennis', 'Peg Hillias', 'Richard Garrick', 'Rudy Bond', 'Vivien Leigh', 'Wright King'], [], Disturbed Blanche DuBois (Vivien Leigh) moves in with her sister in New Orleans and is tormented by her brutish brother-in-law (Marlon Brando) while her reality crumbles around her., Elia Kazan, ['Drama'],  M/PG,  122
The Maltese Falcon, 1941, Warner Bros., 16, 97, 73, 7.9, ['Barton MacLane', 'Elisha Cook Jr.', 'Gladys George', 'Humphrey Bogart', 'Jerome Cowan', 'Lee Patrick', 'Mary Astor', 'Peter Lorre', 'Sydney Greenstreet', 'Ward Bond'], [], A private detective (Humphrey Bogart) takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette., John Huston, ['Mystery', 'Film-Noir'],  TV-PG,  100
