title,year,distributor,release_date,rating_score,summary,director,genres/0,runtime 
House of Pleasures,2011,Sundance Selects," November 25, 2011",7.5,"At the dawn of the twentieth century, in a brothel in Paris, a prostitute's face is scarred and becomes a tragic smile. Life at the brothel is isolated from the outside world and it revolves around the ""laughing lady"". [Haute et Court Films]",Bertrand Bonello,Drama,122
In the Heat of the Night,1967,United Artists," August 3, 1967",7.9,An African American police detective is asked to investigate a murder in a racially hostile southern town.,Norman Jewison,Drama,109
Dina,2017,"Orchard, The"," October 6, 2017",-1,"Dina, an outspoken and eccentric 49-year-old in suburban Philadelphia, invites her fiancé Scott, a Walmart door greeter, to move in with her. Having grown up neurologically diverse in a world blind to the value of their experience, the two are head-over-heels for one another, but shacking up poses a new challenge. Scott freezes when it… Expand",Antonio Santini,Documentary,103
The Retrieval,2014,Variance Films," April 2, 2014",7.8,"1864: as war ravages the nation, on the outskirts of the Civil War business as usual continues for slave-owners and traders. Will, a fatherless 13 year-old boy, survives by working with a white bounty hunter gang who sends him to earn the trust of runaway slaves in order to lure them back to the South. On a dangerous mission into the free… Expand",Chris Eska,Drama,92
The Trip to Italy,2014,IFC Films," August 15, 2014",5.9,"Steve Coogan and Rob Brydon reunite for a new culinary road trip, retracing the steps of the Romantic poets’ grand tour of Italy and indulging in some sparkling banter and impersonation-offs. Rewhetting our palates from the earlier film, the characters enjoy mouthwatering meals in gorgeous settings from Liguria to Capri while riffing on… Expand",Michael Winterbottom,Drama,108
Sauvage / Wild,2019,Strand Releasing," April 10, 2019",8.2,"Leo is 22 and sells his body on the street for a bit of cash. The men come and go, and he stays right here... longing for love. He doesn’t know what the future will bring. He hits the road. His heart is pounding.",Camille Vidal-Naquet,Drama,99
The Flower of My Secret,1996,Sony Pictures Classics," March 8, 1996",7.4,"Leo (Paredes), a writer of romance novels under the name Amanda Gris, is unable to write a happy ending for her latest novel after realizing her marriage to Paco (Arias) is ending. She finds a job as a book reviewer witht he help of her best friend Betty (Elias) and meets Angel (Echanove), an Amanda Gris fan who persuades her to review her… Expand",Pedro Almodóvar,Drama,103
Recorder: The Marion Stokes Project,2019,Zeitgeist Films," November 15, 2019",-1,"Marion Stokes secretly recorded television 24 hours a day for 30 years from 1975 until her death in 2012. For Marion, taping was a form of activism to seek the truth, and she believed that a comprehensive archive of the media would be invaluable for future generations. Her visionary and maddening project nearly tore her family apart, but… Expand",Matt Wolf,Documentary,87
MC5*: A True Testimonial,2004,Avatar Films," April 23, 2004",8.3,"The hidden and forgotten history of an incredible group in an incredible time in America, this documentary profiles the Detroit rock group MC5. (Future/Now Films)",David C. Thomas,Documentary,120
Knafayim Shvurot,2004,Sony Pictures Classics," March 12, 2004",4.6,"An intimate and universal coming of age story set within a dysfunctional, mourning family. (Sony Pictures Classics)",Nir Bergman,Drama,87
Lovely & Amazing,2002,Lions Gate Films," June 28, 2002",7.5,This finely observed comedy is an intimate family portrait of four hapless but resilient women and the bittersweet lessons they learn in keeping up with the hectic demands of their individual neuroses. (Lions Gate),Nicole Holofcener,Drama,91
Joy Ride,2001,Twentieth Century Fox Film Corporation," October 5, 2001",8.2,A contemporary thriller that finds darkness laced with humor in the heartland of America. (20th Century Fox),John Dahl,Action,97
The Boxer,1997,MCA/Universal Pictures," December 31, 1997",7.4,"Star-crossed lovers (Lewis, Watson) are torn between unquestioning loyalty to the ties of tradition and the passion they share in this film set in 1990s Belfast, torn apart by years of religious conflict and IRA violence.
(Universal)",Jim Sheridan,Drama,113
THX 1138,1971,Warner Bros. Pictures," March 11, 1971",6.4,"LUH 3417, a disenchanted surveillance worker, consciously stops taking her mandatory drugs — medication that suppresses emotions — and gives placebos to her roommate, THX 1138. Now free to feel, the two fall in love, but find themselves on the run for breaking laws of conformity.",George Lucas,Sci-Fi,86
Lambert & Stamp,2015,Sony Pictures Classics," April 3, 2015",4.5,"Aspiring filmmakers Chris Stamp and Kit Lambert set out to find a subject for their underground movie, one that will reflect the way it feels to be young and dissatisfied in postwar London. This unlikely partnership of two men from vastly different backgrounds was inspired by the burgeoning youth culture of the early 1960s. Lambert and… Expand",James D. Cooper,Biography,117
Stan & Ollie,2018,Sony Pictures Classics," December 28, 2018",7.4,"Laurel & Hardy, one of the world's great comedy teams, set out on a variety hall tour of Britain in 1953. Diminished by age and with their golden era as the kings of Hollywood comedy now behind them, they face an uncertain future. As the charm and beauty of their performances shines through, they re-connect with their adoring fans. The tour… Expand",Jon S. Baird,Biography,98
Undine,2021,IFC Films," June 4, 2021",6.4,"Undine (Paula Beer) works as a historian lecturing on Berlin’s urban development. But when the man she loves leaves her, the myth catches up with her. Undine has to kill the man who betrays her and return to the water. Will Undine defy fate when she meets a diver (Franz Rogowski) offering her a chance at new love?",Christian Petzold,Drama,90
Charlie's Country,2015,Monument Releasing," June 5, 2015",-1,"Living in a remote Aboriginal community in the northern part of Australia, Charlie is a warrior past his prime. As the government increases its stranglehold over the community's traditional way of life, Charlie becomes lost between two cultures. His new modern life offers him a way to survive but, ultimately, it is one he has no power over.… Expand",Rolf de Heer,Drama,108
Under the Tree,2018,Magnolia Pictures," July 6, 2018",5.7,"When Baldvin & Inga’s next door neighbors complain that a tree in their backyard casts a shadow over their sundeck, what starts off as a typical spat between neighbors in the suburbs unexpectedly and violently spirals out of control.",Hafsteinn Gunnar Sigurðsson,Drama,89
Attack the Block,2011,Screen Gems," July 29, 2011",7.1,"Attack the Block is a fast, funny, frightening action adventure movie that pits a teen gang against an invasion of savage alien monsters. It turns a London housing estate into a sci-fi playground. A tower block into a fortress under siege. And teenage street kids into heroes. It’s inner city versus outer space. (Optimum Releasing)",Joe Cornish,Action,88
Get Me Roger Stone,2017,Netflix," May 12, 2017",7.9,"After the 2016 election, people all over the world woke up to find that Donald J. Trump, New York real estate billionaire and reality TV star, succeeded in pulling off one of the greatest political upsets in history to become the 45th President of the United States. One man who wasn’t shocked – political consultant Roger Stone. A longtime… Expand",Daniel DiMauro,Biography,92
Cul-de-sac,1966,Carlotta Films," November 7, 1966",-1,"In search of help, two wounded gangsters on the run find refuge in the secluded castle of a feeble man and his wife; however, under the point of a gun, nothing is what it seems.",Roman Polanski,Drama,112
Notes on Blindness,2016,BOND360," November 16, 2016",-1,"In the summer of 1983, just days before the birth of his first son, writer and theologian John Hull went blind. In order to make sense of the upheaval in his life, he began keeping a diary on audiocassette. Upon their publication in 1990, Oliver Sacks described the work as 'the most extraordinary, precise, deep and beautiful account of… Expand",James Spinney,Drama,90
Ballplayer: Pelotero,2012,Strand Releasing," July 13, 2012",-1,"This compelling documentary narrated by John Leguizamo (Moulin Rouge!, Ice Age, Carlito's Way) is a gritty and rare look inside the recruitment of top talent baseball players from the Dominican Republic. Miguel Angel Sanó and Jean Carlos Batista are among 100,000 teenagers vying for a handful of coveted contracts with baseball teams. As… Expand",Jonathan Paley,Drama,77
Zombi Child,2020,Film Movement," January 24, 2020",6.5,"Haiti, 1962. A man is brought back from the dead only to be sent to the living hell of the sugarcane fields. In Paris, 55 years later, at the prestigious Légion d’honneur boarding school, a Haitian girl confesses an old family secret to a group of new friends – never imagining that this strange tale will convince a heartbroken classmate to… Expand",Bertrand Bonello,Fantasy,103
Diamond Tongues,2016,," February 19, 2016",-1,"Edith (Leah Goldstein) dreams of being a successful actress but just can’t seem to make things happen. When she can’t figure out what she’s doing wrong, she begins to do everything wrong.",Brian Robertson,Drama,100
Terror's Advocate,2007,Magnolia Pictures," October 12, 2007",5.3,"Communist, anticolonialist, right-wing extremist? What convictions guide the moral mind of Jacques Vergès? Barbet Schroeder takes us down history's darkest paths in his attempt to illuminate the mystery behind this enigmatic figure. As a young lawyer during the Algerian war, Vergès espoused the anticolonialist cause and defended Djamila… Expand",Barbet Schroeder,Biography,135
I don't feel at home in this world anymore.,2017,Netflix,"Release Date (Streaming): February 24, 2017",7.2,"Ruth (Melanie Lynskey), a nursing assistant, is suffering through a crisis of existential despair. But when her house is burglarized, Ruth discovers a renewed sense of purpose in tracking down the thieves. Accompanied by her obnoxious martial-arts-enthusiast neighbor Tony (Elijah Wood), they soon find themselves dangerously out of their… Expand",Macon Blair,Drama,93
Dark Horse,2016,Sony Pictures Classics," May 6, 2016",7,"Set in a former mining village in Wales, Dark Horse is the inspirational true story of a group of friends from a working men's club who decide to take on the elite 'sport of kings' and breed themselves a racehorse. Raised on a slagheap allotment, their foal grows into an unlikely champion, beating the finest thoroughbreds in the land,… Expand",Louise Osmond,Drama,85
Sweet Land,2006,Libero," October 18, 2006",8.1,"Set in Southern Minnesota's farm country, Sweet Land is a poignant and lyrical celebration of land, love, and the American immigrant experience. (Libero LLC)",Ali Selim,Drama,110
House of Usher,1960,American International Pictures (AIP)," June 18, 1960",6.3,"Upon entering his fiancée's family mansion, a man discovers a savage family curse and fears that his future brother-in-law has entombed his bride-to-be prematurely.",Roger Corman,Drama,79
The Two Popes,2019,Netflix," November 27, 2019",7.6,"Behind Vatican walls, the traditionalist Pope Benedict (Anthony Hopkins) and the reformist future Pope Francis (Jonathan Pryce) must find common ground to forge a new path for the Catholic Church.",Fernando Meirelles,Biography,125
Muscle Shoals,2013,Magnolia Pictures," September 27, 2013",8.4,"Located on the banks of the Tennessee River, Muscle Shoals, AL is the unlikely breeding ground for some of the most creative music in American history.",Greg 'Freddy' Camalier,Biography,111
Notturno,2021,01 Distribution,"Release Date (Streaming): January 22, 2021",-1,"Filmed over three years on the borders between Iraq, Kurdistan, Syria and Lebanon, Notturno captures the everyday life that lies behind the continuing tragedy of civil wars, ferocious dictatorships, foreign invasions and the murderous apocalypse of ISIS.",Gianfranco Rosi,Documentary,100
Mala Mala,2015,Strand Releasing," July 1, 2015",-1,Mala Mala is a feature-length documentary about the power of transformation told through the eyes of 9 trans-identifying individuals in Puerto Rico.,Antonio Santini,Biography,87
Honey,2014,Emerging Pictures," March 7, 2014",-1,"Irene lives an isolated life. Her job is to help terminally-ill people die with dignity by giving them a drug. One day she supplies Grimaldi, a new client, with a fatal dose, only to find out he’s perfectly healthy. Irene is determined not to be responsible for his suicide. As a result, Irene and Grimaldi become locked in a tense and… Expand",Valeria Golino,Drama,96
Misery,1990,Columbia Pictures," November 30, 1990",8.3,"After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse.",Rob Reiner,Drama,107
Harry Dean Stanton: Partly Fiction,2013,Adopt Films," September 13, 2013",6.3,"Harry Dean Stanton: Partly Fiction is an impressionistic portrait of the iconic actor comprised of intimate moments, film clips from some of his 250 films and his own heart-breaking renditions of American folk songs. The film explores the actor's enigmatic outlook on his life, his unexploited talents as a musician, and includes candid… Expand",Sophie Huber,Documentary,77
In Between Days,2007,Kino International," June 27, 2007",-1,"A newly arrived Korean immigrant teenager, has fallen in love with her best and only friend. She tries to express her feelings for him, but realizes she's losing him to an Americanized Korean girl. [Kino International]",So Yong Kim,Drama,83
Win Win,2011,Fox Searchlight Pictures," March 18, 2011",7.7,"Disheartened attorney Mike Flaherty, who moonlights as a high school wrestling coach, stumbles across a star athlete through some questionable business dealings while trying to support his family. Just as it looks like he will get a double payday, the boy's mother shows up fresh from rehab and flat broke, threatening to derail everything.… Expand",Thomas McCarthy,Comedy,106
A Talking Picture,2004,," December 10, 2004",5.7,A young history professor and her seven-year-old daughter embark on a cruise through the Mediterranean Sea and befriend three famous women of different nationalities. (Kino International),Manoel de Oliveira,Drama,96
Clean,2005,Palm Pictures," August 12, 2005",7.1,A desperate woman with a drug problem seeks to put her life in order to regain contact with her little boy.,Olivier Assayas,Drama,90
David Lynch: The Art Life,2017,Absurda," March 31, 2017",8.3,"David Lynch: The Art Life looks at Lynch’s art, music, and early films, shining a light into the dark corners of his unique world and giving audiences a better understanding of the man and the artist. As he says, “I think every time you do something, like a painting or whatever, you go with ideas, and sometimes the past can conjure those… Expand",Jon Nguyen,Biography,88
Heaven Knows What,2015,RADiUS-TWC," May 29, 2015",6.6,"Heaven Knows What blends fiction, formalism and raw documentary as it follows a young heroin addict (Arielle Holmes) who finds mad love in the streets of New York. The film is based on Holmes’ soon-to-be-published memoir Mad Love in New York City. [RADiUS-TWC]",Ben Safdie,Drama,94
The Son of Joseph,2017,Kino Lorber," January 13, 2017",-1,"Eugène Green drops biblical motifs – Abraham and Isaac, Mary and Joseph – into this genuinely contemporary setting as if it were the most natural thing in the world, augmenting them with nods to crime films, Italian Baroque music, a Doisneau photograph, three 17th century paintings and an artificial way of speaking that is anything but… Expand",Eugène Green,Drama,113
My Beautiful Laundrette,1986,Prooptiki," April 4, 1986",6.9,An ambitious Pakistani Briton and his white boyfriend strive for success and hope when they open a glamorous laundromat.,Stephen Frears,Drama,97
Touch the Sound: A Sound Journey with Evelyn Glennie,2005,Shadow Distribution," September 7, 2005",6.9,"Through the rhythms of Evelyn Glennie we touch the sound – we feel the beat of the universe. Thomas Riedelsheimer takes us on an expedition with Scottish percussionist Evelyn Glennie into the center of the sound world – a journey involving each of our senses. See, Feel, Embrace the sound. Evelyn’s postcards from her journey across the world… Expand",Thomas Riedelsheimer,Documentary,99
Girl on the Bridge,2000,Legend Films," July 28, 2000",7.4,"A girl on a bridge who contemplates suicide is met by a professional knife thrower. He recruits her to become the new human target in his travelling circus act in France, where the girl encounters a new sensual and suspenseful lifestyle.",Patrice Leconte,Drama,90
Croupier,2000,Shooting Gallery," April 21, 2000",6.4,"A struggling writer (Clive Owen) finds a job at a casino to support his craft and to collect material for his novel, but he becomes embroiled in the temptations that come with his new life.",Mike Hodges,Drama,94
Jing Ke ci Qin Wang,1999,Sony Pictures Classics," December 17, 1999",6,"Zhao (Gong Li) is a concubine in China in the 20th century BC who is sent by her lover to become the lover of his adversary, gain his confidence, and then secure an assassin who can eliminate him.",Kaige Chen,Drama,162
The Cider House Rules,1999,Miramax Films," December 10, 1999",8.6,"This is the story of a compassionate young man (Maguire), raised in an orphanage and trained to be a doctor by the abortionist (Caine) who runs the orphanage.",Lasse Hallstrom,Drama,126
Tumbleweeds,1999,Fine Line Features," November 24, 1999",7.3,A mother (McTeer) and a daughter (Brown) constantly run from town to town to escape failed relationships.,Gavin O'Connor,Drama,102
Fyre,2019,Netflix," January 18, 2019",7.6,An exclusive behind the scenes look at the infamous unraveling of the Fyre music festival.,Chris Smith,Music,97
Félicité,2017,Strand Releasing," October 27, 2017",7.8,"Félicité is a proud, free-willed woman working as a singer in a bar in Kinshasa. Her life is thrown into turmoil when her 14-year-old son falls victim to an accident. To save him, she sets out on a breakneck race through the streets of electric Kinshasa – a world of music and dreams where she’ll cross paths with Tabu.",Alain Gomis,Drama,129
The Crucible,1996,Twentieth Century Fox," November 27, 1996",-1,A Salem resident attempts to frame her ex-lover's wife for being a witch in the middle of the 1692 witchcraft trials.,Nicholas Hytner,Drama,124
Goodbye to Language 3D,2014,Kino Lorber," October 29, 2014",6,"The idea is simple: A married woman and a single man meet. They love, they argue, fists fly. A dog strays between town and country. The seasons pass. The man and woman meet again. The dog finds itself between them. The other is in one, the one is in the other and they are three. The former husband shatters everything. A second film begins:… Expand",Jean-Luc Godard,Drama,70
Time to Choose,2016,Abramorama," June 3, 2016",-1,"Academy Award® winning documentary filmmaker Charles Ferguson explores the comprehensive scope of the climate change crisis and examines the power of solutions already available. Through interviews with world-renowned entrepreneurs, innovators, thought leaders and brave individuals living on the front lines of climate change, Ferguson takes… Expand",Charles Ferguson,Documentary,100
Under The Wire,2018,Abramorama," November 16, 2018",6.6,"On 13 February 2012, two journalists entered war-ravaged Syria. One of them was celebrated Sunday Times war correspondent, Marie Colvin. The other was photographer, Paul Conroy. Their aim was to cover the plight of Syrian civilians trapped in Homs, a city under siege and relentless military attack from the Syrian army. Only one of them… Expand",Chris Martin,Documentary,95
mother!,2017,Paramount Pictures," September 15, 2017",6.9,"A couple's relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence.",Darren Aronofsky,Drama,121
Lost in La Mancha,2003,IFC Films," January 31, 2003",7.7,"Lost In La Mancha may be the first 'un-making of' documentary; the story of a film that does not exist. Instead of a sanitized glimpse behind the scenes, this film offers a unique, in-depth look at the harsher realities of filmmaking. With drama that ranges from personal conflicts to epic storms, this is a record of a film disintegrating.… Expand",Keith Fulton,Documentary,89
Infernal Affairs,2004,Miramax Films," September 24, 2004",6.8,A tightly wound thriller which centers on two Hong Kong police officers - one a gang mole on the force and the other an undercover cop in the gang - who share the same objectives and who find their destinies intertwined in this high-octane police actioner. [Miramax],Alan Mak,Mystery,101
Bernie,2012,Millennium Entertainment," April 27, 2012",7.2,"In the tiny, rural town of Carthage, TX, assistant funeral director Bernie Tiede was one of the town’s most beloved residents. He taught Sunday school, sang in the church choir and was always willing to lend a helping hand. Everyone loved and appreciated Bernie, so it came as no surprise when he befriended Marjorie Nugent, an affluent… Expand",Richard Linklater,Drama,104
Jinn,2018,Orion Classics," November 16, 2018",4,"Summer is a 17-year old carefree black girl, whose world is turned upside down when her mother, a popular meteorologist named Jade Jennings, abruptly converts to Islam and becomes a different person, prompting Summer to reevaluate her identity.",Nijla Mumin,Drama,92
Road to Morocco,1942,Paramount Pictures," November 10, 1942",-1,"Two carefree castaways on a desert shore find an Arabian Nights city, where they compete for the luscious Princess Shalmar.",David Butler,Adventure,82
Chasing Ice,2012,National Geographic Channel," November 9, 2012",8.2,"In the spring of 2005, acclaimed environmental photographer James Balog headed to the Arctic on a tricky assignment for National Geographic: to capture images to help tell the story of the Earth’s changing climate. Even with a scientific upbringing, Balog had been a skeptic about climate change. But that first trip north opened his eyes to
… Expand",Jeff Orlowski,Biography,80
Bridesmaids,2011,Universal Pictures," May 13, 2011",7.1,"Annie's life is a mess. But when she finds out her lifetime best friend is engaged, she simply must serve as Lillian's maid of honor. Though lovelorn and broke, Annie bluffs her way through the expensive and bizarre rituals. With one chance to get it perfect, she'll show Lillian and her bridesmaids just how far you'll go for someone you

… Expand",Paul Feig,Comedy,125
Fever Dream,2021,Netflix," October 6, 2021",5.7,"A young woman lies dying far from home. A boy sits beside her. She is not his mother. He is not her child. Together, they tell a haunting story of broken souls, an invisible threat, and the power and desperation of family. Based on the internationally critically acclaimed novel by Samanta Schweblin.",Claudia Llosa,Drama,93
Blind Ambition,2022,Samuel Goldwyn Films," September 2, 2022",-1,"Blind Ambition follows four friends who have conquered the odds to become South Africa’s top sommeliers after escaping starvation and tyranny in their homeland of Zimbabwe. Driven by relentless optimism, a passion for their craft and a sense of national pride, they form Zimbabwe’s first national wine tasting team and set their sights on the… Expand",Robert Coe,Documentary,96
Queer Japan,2020,Altered Innocence," December 11, 2020",-1,"Trailblazing artists, activists, and everyday people from across the spectrum of gender and sexuality defy social norms and dare to shine in this kaleidoscopic view of LGBTQ+ culture in contemporary Japan. From glossy pride parades to playfully perverse underground parties, Queer Japan pictures people living brazenly unconventional lives in
… Expand",Graham Kolbeins,Documentary,99
Tibet: Cry of the Snow Lion,2003,Artistic License," September 19, 2003",7.9,A sweeping and compelling look at the struggle of the Tibetan people for freedom over the course of more than five decades. (Artistic License Films),Tom Piozet,History,104
El Norte,1984,Cinecom Pictures," January 27, 1984",7.8,Mayan Indian peasants escape oppression in Guatemala and flee to the United States.,Gregory Nava,Adventure,141
The Invisible Woman,2013,Sony Pictures Classics," December 25, 2013",7.1,"Nelly (Felicity Jones), a happily-married mother and schoolteacher, is haunted by her past. Her memories, provoked by remorse and guilt, take us back in time to follow the story of her relationship with Charles Dickens (Ralph Fiennes) with whom she discovered an exciting but fragile complicity. [Sony Pictures Classics]",Ralph Fiennes,Biography,111
Tully,2018,Focus Features," May 4, 2018",7.4,"Marlo (Charlize Theron), a mother of three, including a newborn, is gifted a night nanny by her brother (Mark Duplass). While at first hesitant to accept the extravagance, she comes to form a unique bond with the thoughtful, surprising, and sometimes challenging young nanny, Tully (Mackenzie Davis).",Jason Reitman,Drama,95
Pleasure,2022,Neon," May 13, 2022",6.1,"Ninja Thyberg’s debut feature film is a journey into the Los Angeles porn industry through the lens of newcomer Bella Cherry (Sofia Kappel). Strong, self-confident and determined, Bella embarks on amission to become the best at any cost.",Ninja Thyberg,Drama,109
The Muppets,2011,Walt Disney Studios Motion Pictures," November 23, 2011",7.8,"On vacation in Los Angeles, Walter, the world's biggest Muppet fan, and his friends Gary and Mary from Smalltown, USA, discover the nefarious plan of oilman Tex Richman to raze the Muppet Theater and drill for the oil recently discovered beneath the Muppets' former stomping grounds. To stage The Greatest Muppet Telethon Ever and raise the

… Expand",James Bobin,Comedy,-1
Time Out of Mind,2015,IFC Films," September 9, 2015",6.9,"George (Richard Gere) is a man struggling to find food and a place to sleep in New York City. Shuffled into the unforgiving bureaucracy of a men’s shelter, George seems destined to wind up as just another lost soul swallowed up by the system—until he meets a gregarious, down-and-out ex-jazzman (Ben Vereen) who inspires George to reconnect… Expand",Oren Moverman,Drama,120
Darkest Hour,2017,Focus Features," November 22, 2017",7.3,"During the early days of World War II, with the fall of France imminent, Britain faces its darkest hour as the threat of invasion looms. As the seemingly unstoppable Nazi forces advance, and with the Allied army cornered on the beaches of Dunkirk, the fate of Western Europe hangs on the leadership of the newly-appointed British Prime… Expand",Joe Wright,Biography,125
Dirty God,2020,Cinéart,"Release Date (Streaming): November 13, 2020",-1,A young British mother struggles to reclaim her life after a brutal acid attack leaves her severely scarred.,Sacha Polak,Drama,104
The Automat,2022,A Slice of Pie Productions," February 18, 2022",-1,"Before fast food we had something better. Our grandparents told us stories of gathering around communal tables, sharing their lives, their struggles, and their dreams with strangers at The Automat. Relive the phenomena of America’s original and most beloved restaurant chain with never before-seen archival footage and photographs and a cast… Expand",Lisa Hurwitz,Documentary,79
An Inconvenient Truth,2006,Paramount Vantage," May 24, 2006",8,This documentary offers a passionate and inspirational look at Al Gore's fervent crusade to halt global warming's deadly progress in its tracks by exposing the myths and misconceptions that surround it. [Participant Productions],Davis Guggenheim,Documentary,100
The Beat That My Heart Skipped,2005,Wellspring Media," July 1, 2005",7.9,"In this follow-up to his critical smash ""Read My Lips,"" Jacques Audiard has adapted and updated James Toback’s cult 1978 noir ""Fingers"" to come up with this memorable character study about a young man torn between a life of crime and classical music. (Wellspring Media)",Jacques Audiard,Action,108
I Shot Andy Warhol,1996,"Samuel Goldwyn Company, The"," May 1, 1996",7.3,"In 1968, mad, radical-feminist genius Valerie Solanas shot pop-art icon Andy Warhol, seriously wounding him. This film traces her bizarre life leading to that moment, including the writing of her ""SCUM Manifesto,"" which decrees males biologically obsolete. [MGM]",Mary Harron,Biography,103
"Nico, 1988",2018,Magnolia Pictures," August 1, 2018",6.1,"Nico, 1988 follows the singer-songwriter, approaching 50, leading a solitary existence in Manchester, far from her 60s glam days as a Warhol superstar and celebrated vocalist for cult band The Velvet Underground. Her life and career on the fringes, Nico’s new manager Richard convinces her to hit the road again and tour Europe to promote her… Expand",Susanna Nicchiarelli,Biography,93
Stefan Zweig: Farewell to Europe,2017,First Run Features," May 12, 2017",7,"The years of exile in the life of Stefan Zweig, one of the most read German-language writers of his time, between Buenos Aires, New York and Brazil. As a Jewish intellectual, Zweig struggles to find the right stance towards the events in Nazi Germany, while searching for a home in the new world. [First Run Features]",Maria Schrader,Drama,106
Our Little Sister,2016,Sony Pictures Classics," July 8, 2016",7.7,"Three sisters - Sachi, Yoshino and Chika - live together in a large house in the seaside town of Kamakura. When they learn of their estranged father’s death, they decide to travel to the countryside for his funeral. There they meet their shy teenage half-sister Suzu for the first time and, bonding quickly, invite her to live with them. Suzu… Expand",Hirokazu Koreeda,Drama,128
Mapplethorpe: Look at the Pictures,2016,HBO Documentary Films," March 25, 2016",6,"Using two retrospectives at LA's Getty and LACMA museums as a backdrop, this definitive portrait profiles the controversial artist from early childhood, to his beginnings in NYC and his meteoric rise in the art world, to his untimely death in 1989. [HBO]",Fenton Bailey,Documentary,108
I'll See You in My Dreams,2015,Bleecker Street Media," May 15, 2015",7,"Carol, a widow in her 70's, is forced to confront her fears about love, family, and death. After her routine is rattled she decides to start dating again and falls into relationships with two very different men.",Brett Haley,Drama,92
Detective Dee and the Mystery of the Phantom Flame,2011,Indomina Releasing," September 2, 2011",6.9,"A bizarre murder mystery brings together the most powerful woman in China, the soon-to-be-Empress Wu Zetian, and a formerly exiled detective, Dee Renjie, at the infamous Imperial Palace. Hoping that he will solve the crime before her coronation, Wu appoints Dee Chief Judge of the Empire and implores him to combine his indisputable wisdom… Expand",Hark Tsui,Action,119
The Strange Case of Angelica,2010,Cinema Guild," December 29, 2010",-1,"Late one night, Isaac is summoned by a wealthy family to take the last photograph of young bride, Angelica, who mysteriously passed away. Arriving at their estate, Isaac is struck by Angelica's beauty. But when he looks through his lens, the young woman appears to come to life. For that moment, Isaac will be haunted by Angelica day and… Expand",Manoel de Oliveira,Drama,97
Samson and Delilah,2010,Indiepix," October 15, 2010",7.7,"Samson, a cheeky 15-year-old boy, and Delilah live in an isolated Aboriginal community in the Central Australian desert. Amongst a tiny collection of houses, everything here happens in a cycle. Day in and day out - nothing changes, everything stays the same and no one seems to care. When tragedy strikes they turn their backs on home and… Expand",Warwick Thornton,Drama,101
Enchanted,2007,Walt Disney Studios Motion Pictures," November 21, 2007",8.2,"A classic Disney fairy tale collides with modern-day New York City in a story about a fairytale princess from the land of Andalasia who is thrust into the heart of New York City by an evil queen. Soon after her arrival, Princess Giselle begins to change her views on life and love after meeting a handsome lawyer. Can a storybook view of… Expand",Kevin Lima,Fantasy,107
Lady Vengeance,2006,Tartan," April 28, 2006",8,"Lady Vengeance is the third film from Park Chanwook's revenge trilogy following ""Sympathy for Mr. Vengeance"" and ""Oldboy"". Lee Geum-Ja, at the age of 19, goes to prison for the murder and abduction of a child on behalf of her accomplice Mr. Baek, only to find out that she is betrayed. While in prison, she carefully prepares for her revenge… Expand",Chan-wook Park,Drama,112
Make It Funky!,2005,," September 9, 2005",4.7,"A raucous tribute to the musical heritage of New Orleans, this documentary is chock full of blazing performances, fiery archival footage and red-hot conversations with the remarkable men and women who created it. (Sony)",Michael Murphy,Music,110
The Blind Swordsman: Zatoichi,2004,Miramax Films," July 23, 2004",7.5,"Director Takeshi Kitano takes on Japanese cinematic legend Zatoichi. Kitano stars as the blind wanderer with a distinctive red cane and a shock of platinum blonde hair. Softly-spoken, he makes a living as a masseur and by gambling, but his humble, shuffling facade masks a lightning-fast, deadly swordsman. (Miramax)",Takeshi Kitano,Action,116
Shrek 2,2004,DreamWorks Distribution," May 19, 2004",8.6,The fairy tale continues as everyone's favorite ogre faces his greatest challenge of all -- the inlaws! (DreamWorks),Andrew Adamson,Adventure,93
The Clay Bird,2004,Milestone Film & Video," April 30, 2004",8.6,A young student is torn between the worlds of Hindu and Muslim religions in this Bangladeshi film directed by Tareque Masud. (Milestone Films),Tareque Masud,Drama,94
Lawless Heart,2003,First Look International," February 21, 2003",4.5,"A sharp, modern love story where lust, love and loyalty are stretched to their limits. Told from three different perspectives, Lawless Heart reveals the comic and subtle realities of modern relationships. (First Look Pictures)",Neil Hunter,Drama,100
Kippur,2000,Kino International," November 3, 2000",6.2,"A look at the 1973 Yom Kippur War, in which Israel was attacked by Syria and Egypt on the holiest day of the Jewish calendar. Movie focuses on the fictionalized exploits of a small military unit assigned to remove the wounded from the Golan Heights combat areas.",Amos Gitai,Drama,124
Elizabeth,1998,Gramercy Pictures (I)," November 6, 1998",7.4,"This historical drama chronicles the life of Queen Elizabeth I, from her days as an innocent young woman through her transformation into England's legendary ""Virgin Queen."" Formidable. Untouchable. Unbeatable... (Gramercy Pictures)",Shekhar Kapur,Biography,124
The Professionals,1966,Columbia Pictures," November 2, 1966",7.3,An arrogant Texas millionaire hires four adventurers to rescue his kidnapped wife from a notorious Mexican bandit.,Richard Brooks,Action,117
Testament of Orpheus,1962,Films Around the World (I)," April 9, 1962",-1,"The Poet looks back over his life and work, recalling his inspirations and obsessions.",Jean Cocteau,Biography,77
