title,year,distributor,release_date,rating_score,summary,director,genres/0,runtime
12 Years a Slave,2013,Fox Searchlight Pictures," October 18, 2013",8.0,"In the pre-Civil War United States, Solomon Northup, a free black man living in upstate New York, is abducted and sold into slavery.",Steve McQueen,Biography, 134
Manchester by the Sea,2016,Roadside Attractions," November 18, 2016",8.2,"After the death of his older brother Joe (Kyle Chandler), Lee Chandler (Casey Affleck) is shocked to learn that Joe has made him sole guardian of his nephew Patrick (Lucas Hedges). Taking leave of his job, Lee reluctantly returns to Manchester-by-the-Sea to care for Patrick, a spirited 15-year-old, and is forced to deal with a past that… Expand",Kenneth Lonergan,Drama, 137
Killer of Sheep,2007,Milestone Film & Video," March 30, 2007",6.8,"Killer of Sheep examines the black Los Angeles ghetto of Watts in the mid-1970s through the eyes of Stan, a sensitive dreamer who is growing detached and numb from the psychic toll of working at a slaughterhouse. The film offers no solutions; it merely presents life -- sometimes hauntingly bleak, sometimes filled with transcendent joy and… Expand",Charles Burnett,Drama, 80
Nashville,1975,Paramount Pictures," June 11, 1975",8.0,"Over the course of a few hectic days, numerous interrelated people prepare for a political convention as secrets and lies are surfaced and revealed.",Robert Altman,Drama, 160
Ratatouille,2007,Buena Vista Pictures," June 29, 2007",8.6,"Despite his sensational sniffer and sophisticated palate, Remy's dreams of becoming a chef seem hopeless due to one small detail--he's a rat! Through a twist of fate, he ends up in the world-famous restaurant of his late hero, Auguste Gusteau. With a dash of culinary courage and the help of garbage boy Linguini, Remy whips up exquisite… Expand",Brad Bird,Fantasy, 111
The Grapes of Wrath,1940,Twentieth Century Fox," March 15, 1940",8.5,"A poor Midwest family is forced off their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression.",John Ford,Drama, 129
Children of Paradise (1945),2012,Tricolore," March 9, 2012",7.7,"Children of Paradise is the tale of a woman loved by four different men. Deftly entwining theater, literature, music, and design, director Marcel Carné and screenwriter Jacques Prévert resurrect the tumultuous world of nineteenth-century Paris, teeming with hucksters and aristocrats, thieves and courtesans, pimps and seers. (Janus Films)",Marcel Carné,Drama, 190
Mean Streets,1973,Warner Bros.," October 14, 1973",7.3,"Charlie (Harvey Keitel) is working his way up the ranks of a local mob. Teresa (Amy Robinson) is the girlfriend his family deems unsuitable because of her epilepsy. Johnny Boy (Robert De Niro) is a small-time gambler in big-time debt to loan sharks. This is a story Martin Scorsese lived, a semi-biographical tale of the first-generation sons… Expand",Martin Scorsese,Drama, 112
Sansho the Bailiff,1955,Brandon Films," January 1, 1955",6.3,"When an idealistic governor disobeys the reigning feudal lord, he is cast into exile, his wife and children left to fend for themselves and eventually wrenched apart by vicious slave traders. Under Kenji Mizoguchi’s dazzling direction, this classic Japanese story became one of cinema’s greatest masterpieces, a monumental, empathetic… Expand",Kenji Mizoguchi,Drama, 124
The Lady Eve,1941,Paramount Pictures," March 21, 1941",6.7,"A trio of classy card sharks targets the socially awkward heir to brewery millions for his money, until one of them falls in love with him.",Preston Sturges,Comedy, 94
Gravity,2013,Warner Bros. Pictures," October 4, 2013",7.8,"Dr. Ryan Stone (Sandra Bullock) is a brilliant medical engineer on her first shuttle mission, with veteran astronaut Matt Kowalsky (George Clooney) in command of his last flight before retiring. But on a seemingly routine spacewalk, disaster strikes. The shuttle is destroyed, leaving Stone and Kowalsky completely alone - tethered to nothing… Expand",Alfonso Cuarón,Sci-Fi, 91
Fantasia,1940,Walt Disney Productions," November 13, 1940",8.3,A collection of animated interpretations of great works of Western classical music.,Ben Sharpsteen,Fantasy, 125
Spirited Away,2002,Walt Disney Studios," September 20, 2002",8.9,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free herself and return her family to the outside world. [Walt Disney Studios]",Hayao Miyazaki,Adventure, 125
Beauty and the Beast,1991,Buena Vista Pictures," November 22, 1991",8.3,"This 'tale as old as time' follows the adventures of Belle, a bright young woman who finds herself imprisoned in a castle of a mysterious beast. With the assistance of the castle's enchanted staff, a delightful and tender romance develops between these two unlikely friends and Belle soon learns the most important lesson of all - that true… Expand",Gary Trousdale,Fantasy, 84
